,CYCLE_ACTIVITY.STALLS_L3_MISS,EXE_ACTIVITY.2_PORTS_UTIL,OFFCORE_REQUESTS.DEMAND_DATA_RD,OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DEMAND_DATA_RD,OFFCORE_REQUESTS_OUTSTANDING.DEMAND_DATA_RD,cycles,instructions,timestamp,cumulative_instructions,interval_seconds,Actual_Slowdown,Local_Interval_Time,P,AOL,K_pred,AOL_Pred,ML_Pred,Heuristic_Pred
767,957803066.8615723,863197682.8599854,5455094.651863098,1187154313.0007935,1479241734.9017334,5822936572.040039,3859090942.074707,304.6023233333642,3859090942.074707,0.3335428565452503,0.12123725963704966,0.2974774996803262,0.16448797870487714,217.6230457514317,2.845445675064628,0.4680416076059153,0.4305014996442802,0.005869863883412724
768,962921083.2297974,858100440.3408203,5474147.355214119,1194737366.1872559,1483958549.9239502,5817088349.385742,3859090942.0751953,304.9355337072383,3859090942.0751953,0.33321037387406705,0.10879275679725,0.30051636956625316,0.16553317147598032,218.25085966114338,2.8462302814742158,0.4711455252433991,0.4286000568642236,0.005830800906992673
769,968950275.5056152,859784614.9938965,5510000.241751194,1200411930.4735107,1494711283.9868164,5830117375.799805,3859090942.0751953,305.26956965232415,3859090942.0751953,0.33403594508587275,0.10083485680087051,0.3034387428979244,0.16619738729920336,217.86059488302212,2.8457430314638734,0.4729550567542104,0.4286000568642236,0.005812466327786184
770,970698803.8050537,861226460.0578613,5509502.749650478,1200112829.69635,1498363457.9812012,5846880971.692383,3859090942.074707,305.60450046371494,3859090942.074707,0.33493081139079095,0.13206065659597616,0.29585942187753744,0.16601993584351768,217.825978900271,2.845699736787984,0.47244288773145626,0.4286000568642236,0.005960831733388132
771,971389329.3939209,857093812.5411377,5499924.958972454,1202521612.0424805,1496983122.1066895,5812190329.125,3859090942.0751953,305.93746363525895,3859090942.0751953,0.3329631715440087,0.11739969670509812,0.2979803668515615,0.167129648959751,218.6432762288354,2.846718631546106,0.47577108557748343,0.4286000568642236,0.0059081154888849475
772,978203470.652832,860654584.0308838,5539683.440120697,1210347707.2805786,1504384309.015625,5833797683.183594,3859090942.074707,306.27170566051296,3859090942.074707,0.3342420252540137,0.10774705928706871,0.3017313586633463,0.1676786758431107,218.48679989811978,2.846524091881421,0.47730139048218984,0.42883014717032364,0.00587684670279947
773,977741494.9694214,861047759.9991455,5553034.762303352,1212646811.868042,1505402848.1729736,5836120523.904297,3859090942.0751953,306.60600080511244,3859090942.0751953,0.33429514459947995,0.13257163969928665,0.2951646791087228,0.16753277986029727,218.3755124495288,2.846385579986355,0.4768628887693786,0.42883014717032364,0.00602207095611959
774,973920405.6321411,857046136.097168,5533060.137855053,1208528557.2440186,1498080274.1904297,5810923739.722656,3859090942.0751953,306.9388675620473,3859090942.0751953,0.33286675693483403,0.11654795533247578,0.2981213259539004,0.1676016497987331,218.41955936385628,2.8464404174406908,0.4770681100168543,0.42883014717032364,0.00594089954464055
775,979032602.6422119,855747365.635498,5544146.254991055,1211680210.7888184,1504415605.0023193,5795204785.724609,3859090942.074707,307.27089846051956,3859090942.074707,0.33203089847228284,0.1145452374292475,0.2979070631876084,0.16893839628478247,218.5512710271698,2.8466042763266297,0.48090076130002457,0.4269883674984673,0.005957084230319517
776,959119039.5142822,845673485.472168,5436192.853085041,1187193760.3899536,1470436670.4509277,5691554089.975586,3859090942.0751953,307.59692804158783,3859090942.0751953,0.3260295810682692,0.10966656343054751,0.2938086014418104,0.1685161951115528,218.38698377233266,2.846399863461588,0.4796644747565902,0.4290900362646554,0.005922570129458672
777,964417058.588501,848156265.9283447,5504030.954814911,1197513929.2374878,1483476976.560791,5738645503.432617,3859090942.074707,307.92562410085844,3859090942.074707,0.3286960592706123,0.11994531622247627,0.2934929540839448,0.16805656631196805,217.570347817522,2.8453796299122227,0.47818473045706655,0.4290900362646554,0.006002926843541214
778,965407401.5701904,850699049.7298584,5515661.2430586815,1197004616.3306274,1485178202.5162354,5744868386.264648,3859090942.0751953,308.254766389234,3859090942.0751953,0.3291422883755786,0.11324677589167023,0.29565977239138874,0.1680469136383305,217.01924095447797,2.844687202835554,0.4780409047029703,0.4269883674984673,0.005971524376244009
779,959468050.093811,845619826.9591064,5458823.373064518,1187346069.6344604,1474327980.3156738,5705955116.029297,3859090942.0751953,308.5815929319967,3859090942.0751953,0.3268265427626602,0.11333406668994735,0.29355658156976006,0.16815205002199402,217.509523296391,2.845303363916795,0.4784435935770847,0.4290900362646554,0.005952331130995475
780,953796480.9038086,843385140.0273438,5430060.210497379,1181165441.7902222,1459181686.8024902,5659253591.672852,3859090942.074707,308.90574811496145,3859090942.074707,0.3241551829647733,0.12468850106419292,0.28821774443150616,0.1685375050708534,217.52345204327494,2.8453208321481713,0.47954327417637727,0.4290900362646554,0.006030645397916646
781,954520374.8094482,845482384.3394775,5463350.192532539,1183163871.8341675,1462427514.9799805,5674817798.0546875,3859090942.0751953,309.23087660690675,3859090942.0751953,0.3251284919452928,0.11737418429223107,0.2909754820863668,0.1682028232054702,216.56379879352218,2.8441125681158175,0.4783877634712407,0.4290900362646554,0.006010111168708654
