,CYCLE_ACTIVITY.STALLS_L3_MISS,EXE_ACTIVITY.2_PORTS_UTIL,OFFCORE_REQUESTS.DEMAND_DATA_RD,OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DEMAND_DATA_RD,OFFCORE_REQUESTS_OUTSTANDING.DEMAND_DATA_RD,cycles,instructions,timestamp,cumulative_instructions,interval_seconds,Actual_Slowdown,Local_Interval_Time,P,AOL,K_pred,AOL_Pred,ML_Pred,Heuristic_Pred
192,1376125226.9273682,71177068.7284317,12940737.086425781,1661121176.9355469,2632477690.290039,1942422440.6523438,583626341.8340149,43.35949129365329,583626341.8340149,0.0890873712588558,0.39046705456383707,0.06407010577233763,0.7084582622847015,128.3637219303361,2.667678478785469,1.8899388594146496,1.1664594512075084,0.24685715242025044
193,1377093832.8410645,71192358.37291336,12949732.592344284,1662413875.744995,2634627250.175293,1943776810.4812012,583626341.8339996,43.448652111763,583626341.8339996,0.08916081810971122,0.39162318765668597,0.06406965542148413,0.7084629394771673,128.37437869008917,2.667712210499746,1.8899752343297818,1.1664594512075084,0.24703048683439086
194,1375600898.7437744,71190789.00174332,12958120.823259354,1661080924.130005,2632257527.130371,1942601172.2121582,583626341.8339996,43.53774352277284,583626341.8339996,0.0890914110098393,0.3693172379560463,0.06506265205776884,0.70812316929537,128.18841148235208,2.667122888458228,1.8886515126752619,1.1664594512075084,0.24341784052395812
195,1377272257.0837402,71196416.7527237,12961364.185958862,1662792826.1538086,2634495930.0625,1944339958.5546875,583626341.8339996,43.62689820232911,583626341.8339996,0.0891546795562661,0.37752207995717224,0.06472105300775866,0.7083495100864597,128.28841179812878,2.6674399651285703,1.889479792483866,1.1664594512075084,0.244763852921285
196,1380949050.7525024,71257250.93812561,12967528.017026901,1666529107.869629,2640644296.2612305,1947849458.571045,583626341.8339996,43.716231985730204,583626341.8339996,0.08933378340109499,0.3879808315055564,0.06436240427340323,0.7089608720406841,128.5155586848478,2.668158638220502,1.8916200748956913,1.1664594512075084,0.2462448056465855
197,1380956765.887085,71302882.31977844,12987581.469415665,1666915823.9562988,2641185876.069336,1948731448.8232422,583626341.8339996,43.80558812980585,583626341.8339996,0.0893561440756443,0.39022398347523685,0.06427463857462357,0.7086439574426673,128.34690029715722,2.6676252238080336,1.890396495573206,1.1664594512075084,0.2469623696846158
198,1381783000.37854,71282524.74813843,12995126.680820465,1667807592.569458,2643821860.6865234,1949642537.4415283,583626341.8339996,43.89497837418269,583626341.8339996,0.08939024437684395,0.394581380605648,0.06409826319208634,0.7087365882936789,128.3410030185376,2.6676065510334066,1.8906303658892842,1.1664594512075084,0.24778579038683418
199,1378383094.8901978,71311675.61360931,13000651.818214417,1664644052.9215088,2639135657.524414,1946482102.3145752,583626341.8339996,43.98423689217042,583626341.8339996,0.0892585179877301,0.3988456417165741,0.063808697204216,0.7081406467858877,128.04312246785028,2.6666614645438145,1.8883713742610595,1.1642118723524386,0.24901607969536071
200,1380637295.2363892,71344291.43520737,13005932.196716309,1666901362.0240479,2642636645.6206055,1948848452.288086,583626341.8339996,44.07360026226021,583626341.8339996,0.08936337008978512,0.38831167889129437,0.06436837739573775,0.7084374845131869,128.16469721754365,2.6670476347830956,1.889436517462581,1.1642118723524386,0.24695115750858168
201,1382043742.3514404,71363461.85398865,13010295.23485756,1668339936.8062744,2644845877.038086,1950423643.309204,583626341.8339996,44.16303197541375,583626341.8339996,0.08943171315354448,0.38925529361907435,0.0643738509144498,0.7085864381784172,128.2322888673894,2.6672620645777596,1.8899857260275659,1.1642118723524386,0.24701299646480462
202,1381246990.6542358,71372011.16144562,13016449.344417572,1667662323.2478027,2644076807.2460938,1949778655.886963,583626341.8339996,44.25243404979255,583626341.8339996,0.08940207437879621,0.39798590179355314,0.06395062658650374,0.7084122018075434,128.11960305926448,2.6669044700828906,1.8892676676618003,1.1642118723524386,0.24876533988550956
203,1381811786.3953857,71404467.74625397,13020947.513134003,1668340846.321167,2644726038.7163086,1950511723.022583,583626341.8339996,44.34188213487779,583626341.8339996,0.0894480850852446,0.3876417633914112,0.06446050230329803,0.7084355198101966,128.12745344671274,2.6669293995917545,1.88934751549688,1.1642118723524386,0.24688291977420157
204,1385178933.8430786,71454741.80831146,13025889.813444138,1671884116.1357422,2649464284.006836,1954306092.0644531,583626341.8339996,44.431526594867876,583626341.8339996,0.08964445999008319,0.38583688745060357,0.06468615520473975,0.7087829994838881,128.35085664629034,2.6676377501295607,1.8907762860732809,1.1642118723524386,0.2461150681454088
205,1386151628.0685425,71430406.08665466,13049242.6080513,1673369947.5126953,2654325617.168457,1955999043.2834473,583626341.8339996,44.521244444744504,583626341.8339996,0.08971784987662801,0.38984505252522983,0.06455241158977998,0.7086668231399911,128.23502465041432,2.6672707396243807,1.890206281503864,1.1642118723524386,0.24706713320294427
206,1389772611.423462,71461354.10190582,13059936.518852234,1676987634.69458,2659388425.1606445,1959351724.005371,583626341.8339996,44.6110948451043,583626341.8339996,0.08985040035979353,0.39549381920468796,0.0643860969667358,0.7093022627823263,128.4070280336984,2.6678155255305525,1.892287588944642,1.1642118723524386,0.24790832366680468
207,1383120074.6149902,71519200.49488068,13069328.478370667,1670559489.27417,2649854239.8554688,1953364478.5336914,583626341.8339996,44.700654049989105,583626341.8339996,0.08955920488480729,0.39365627944624065,0.06426204667939572,0.7080706595285485,127.82290169222497,2.665960370357882,1.8876883177162789,1.1624478994244813,0.24856550703180968
208,1388865043.0454102,71536383.28118515,13068552.87097168,1676300782.3046875,2658632833.364746,1959033220.1171875,583626341.8339996,44.7904923319961,583626341.8339996,0.08983828200699406,0.38762672628137573,0.06474239815756988,0.7089543090863613,128.26980912539634,2.667381012305141,1.8910512626488702,1.1624478994244813,0.24670665164161767
209,1389323117.1122437,71589683.57314682,13090163.2204628,1677072820.6436768,2660216373.722168,1960016304.4522705,583626341.8339996,44.8803677046287,583626341.8339996,0.08987537263260492,0.37693083733065896,0.06527224911807394,0.7088324285651757,128.11702897806833,2.666896295326528,1.890382577747773,1.1624478994244813,0.24510864334640164
210,1388315123.1829224,71622625.7218628,13100515.176683426,1676371708.5599365,2658952351.834961,1959526047.2731934,583626341.8339996,44.97022449636996,583626341.8339996,0.08985679174125494,0.36352873451685686,0.06590018198119907,0.7084953655578359,127.96227369314288,2.666404312158146,1.8891350978674755,1.1624478994244813,0.2429651042687543
211,1389673373.217041,71625634.79259872,13109533.005247116,1677850657.2797852,2661589083.5131836,1960974374.4018555,583626341.8339996,45.06014705890301,583626341.8339996,0.08992256253305442,0.39045710474584044,0.0646712237480287,0.7086647287988783,127.98706533697441,2.666483195187504,1.889642590364319,1.1624478994244813,0.24775263624829755
212,1393335494.4892578,71635717.33509827,13126167.86019516,1681684025.8452148,2668368703.7524414,1964881579.222046,583626341.8339996,45.15024407063977,583626341.8339996,0.09009701173675921,0.3925489303988204,0.06469935078759192,0.7091193226214274,128.11690691118523,2.666895907660115,1.8911474195417974,1.1624478994244813,0.2479591694657847
213,1395147136.4760742,71676996.78977966,13141652.377271652,1683777867.994995,2672003293.1123047,1967255031.7937012,583626341.8339996,45.2404447611597,583626341.8339996,0.09020069051992863,0.39029806650732596,0.06487867076340592,0.7091846831897585,128.12527828746033,2.6669224924656083,1.8913405829108634,1.1624478994244813,0.24756552913401023
214,1392907813.4993896,71717322.85842133,13146138.764492035,1681700927.696289,2668513546.7773438,1965260949.5653076,583626341.8339996,45.3305518952305,583626341.8339996,0.09010713407079862,0.3918320716092079,0.06473994665650906,0.7087648150783662,127.92356431217617,2.6662810933242795,1.889766226056927,1.1624478994244813,0.24818070677488638
215,1394768002.3457642,71709579.70393753,13158132.636798859,1683985896.5373535,2672089078.5996094,1967789691.685913,583626341.8339996,45.42082544325513,583626341.8339996,0.0902735480246335,0.38774184143888485,0.06505067825225552,0.7087993235449821,127.98061419656258,2.6664626711871016,1.8899869375953635,1.1624478994244813,0.24722055259003775
216,1396766919.182373,71767425.41075134,13169080.084186554,1686174829.2264404,2674636756.913574,1970158885.6660156,583626341.8339996,45.51118181779059,583626341.8339996,0.0903563745354603,0.3713976260072139,0.06588634311591335,0.7089615610926697,128.0404415834027,2.6666529419755287,1.8905544326353312,1.1624478994244813,0.24428802432591892
217,1396452779.8469238,71746371.63360596,13193393.684761047,1685779733.3336182,2676223136.119629,1969764569.310791,583626341.8339996,45.60149421144953,583626341.8339996,0.09031239365893384,0.3890587340140811,0.06501697260701889,0.7089440035646161,127.77453425654753,2.665806113754328,1.8899072590120236,1.1624478994244813,0.24801155785176832
218,1400341321.498108,71808128.96038437,13195476.130167007,1689868412.7650146,2682214300.01416,1974022288.5488281,583626341.8339996,45.69205070111729,583626341.8339996,0.09055648966776175,0.39544129915243836,0.06489451739945196,0.7093847570118101,128.06422413979442,2.666728536490768,1.8917365748749635,1.1624478994244813,0.24851877282285065
219,1401269953.006836,71870969.26361847,13216955.203517914,1691529860.0184326,2685216864.524414,1975864560.8656006,583626341.8339996,45.782655031676974,583626341.8339996,0.09060433055968531,0.3850685847836528,0.06541504987916369,0.7091933226399677,127.98181078560391,2.6664664782114,1.891040221390836,1.1624478994244813,0.24694252426668903
220,1403204635.918274,71896858.54584122,13234883.913696289,1693591612.5413818,2688446485.069336,1978123781.572754,583626341.8339996,45.87335437497131,583626341.8339996,0.09069934329433949,0.392077335556763,0.06515395443749838,0.7093613903183668,127.96422118888,2.6664105097141073,1.891448666330304,1.1624478994244813,0.24826843043519162
221,1403293984.9997559,71945815.55161667,13248621.287830353,1693933214.6383057,2689442134.4975586,1978601009.109253,583626341.8339996,45.96408021828419,583626341.8339996,0.09072584331287459,0.3939974384147495,0.06508322096778585,0.7092354540097527,127.85732023258029,2.6660700800157597,1.8908714236217952,1.1624478994244813,0.2487962270062888
222,1404590623.82312,71989538.41554642,13265820.702259064,1695649165.1899414,2692786470.163086,1980487062.1192627,583626341.8339996,46.054889551919324,583626341.8339996,0.09080933363513566,0.3888348254671148,0.0653852653821474,0.7092147435288508,127.82090179322157,2.665953994108619,1.8907338781914598,1.1624478994244813,0.24796841981307965
223,1408444301.2385254,72015219.99142456,13285590.953987122,1699734915.87146,2699419636.3916016,1984816746.0528564,583626341.8339996,46.14589586071255,583626341.8339996,0.0910063087932258,0.3866572781278306,0.06562999396368241,0.7096092392607302,127.93822433328452,2.6663277662069818,1.8920508177978983,1.1624478994244813,0.24741194001750771
224,1409487522.2844238,72074105.64245987,13301139.168884277,1701013307.527832,2701794314.8588867,1986257907.4645996,583626341.8339996,46.23697605637636,583626341.8339996,0.09108019566381387,0.38315733752914766,0.06584948305773963,0.7096195901787968,127.88478384671438,2.6661575848456742,1.8919576527102782,1.1624478994244813,0.24687585076220464
225,1407896956.310669,72128219.75134659,13317486.934703827,1699884322.3204346,2701127182.879883,1985207385.175415,583626341.8339996,46.32801788206686,583626341.8339996,0.09104182569049613,0.36849522173204463,0.06652695913345497,0.7091938942118461,127.64302534367299,2.6653861962993126,1.8902756161320096,1.1624478994244813,0.24466212791338793
226,1415062610.7162476,72156006.79212952,13345105.220380783,1707406567.0264893,2712849113.2226562,1993150238.5162354,583626341.8339996,46.41944152713837,583626341.8339996,0.09142364507150802,0.38064432462667036,0.06621810081045254,0.7099628434280325,127.9425331483277,2.666341482391691,1.8930033803889204,1.1624478994244813,0.24631305101859832
227,1417630263.393982,72219906.49723053,13368680.800197601,1710307219.918213,2718131725.811035,1996019218.7034912,583626341.8339996,46.5109837731093,583626341.8339996,0.09154224597093474,0.3869734204629114,0.06600144214759496,0.7102287643877496,127.93388109714857,2.666313939657941,1.8936928548330922,1.1624478994244813,0.24755817412720973
228,1419645570.7591553,72210241.70631409,13384382.892967224,1712692083.156372,2721327357.0117188,1998603814.3708496,583626341.8339996,46.60263128679889,583626341.8339996,0.0916475136895869,0.38486435297054894,0.06617797150529725,0.7103186537278038,127.96197604719602,2.666403364939213,1.8939960484789076,1.1624478994244813,0.2471878062661227
229,1423435880.6141357,72381980.88246918,13416848.572626114,1716960406.4884033,2729775559.07959,2003481926.8499756,583626341.8339996,46.69449125484291,583626341.8339996,0.09185996804401952,0.3930198141839126,0.06594304482153746,0.7104810188391208,127.97046916005688,2.6664303916831122,1.8944481813466136,1.1624478994244813,0.2486701544499166
230,1424300679.859375,72412276.07637787,13448700.46654129,1718279668.5463867,2732966117.649414,2004792652.4699707,583626341.8339996,46.78641448156543,583626341.8339996,0.09192322672252118,0.3979007351929942,0.06575805020220571,0.7104478750481201,127.76547985593514,2.665777225871503,1.893895765472082,1.1624478994244813,0.24996173795543078
231,1427826579.192566,72490166.28932571,13484311.101182938,1722454260.1361084,2740931619.15625,2009320180.7958984,583626341.8339996,46.878555556432374,583626341.8339996,0.09214107486694445,0.3821562756764987,0.06666472995019745,0.7106018208740625,127.7376535746793,2.6656884249694985,1.8942430486662376,1.1624478994244813,0.24721497903484232
232,1430750984.2025757,72559314.64156342,13518666.176750183,1726227029.9716797,2747292710.4106445,2013444017.1236572,583626341.8339996,46.97087416894688,583626341.8339996,0.09231861251450368,0.3884939637414524,0.06648830670155803,0.7105988406106774,127.69211158867861,2.665543017915284,1.8941317781284868,1.1624478994244813,0.24850247203989112
233,1431352258.376892,72630280.35865021,13550082.114759445,1727526252.9700928,2749740830.0078125,2015026152.659912,583626341.8339996,47.06326933920417,583626341.8339996,0.09239517025729072,0.39317208404224724,0.06631999830861446,0.7103392958386431,127.49193977860713,2.6649028636701964,1.8929852236578708,1.161812084706894,0.2497120860485166
234,1434346384.9382324,72722434.50269318,13584878.7833004,1730963213.5163574,2756487684.701172,2018762961.6535645,583626341.8340149,47.1558420108127,583626341.8340149,0.09257267160852933,0.3813246612983289,0.06701731620538709,0.7105075792372187,127.41837753047848,2.6646671819051013,1.8932662288882551,1.161812084706894,0.2477484109978061
235,1440668702.9077759,72822966.19444656,13630374.21156311,1737934201.39563,2769118674.756836,2026065256.3669434,583626341.8339996,47.24873479104112,583626341.8339996,0.09289278022842495,0.3837485697729133,0.0671312565429929,0.7110672760319298,127.50451120566309,2.6649431174863785,1.8949538433310782,1.1604605589991206,0.24815620847785994
236,1445103181.4916382,72949224.36589813,13683506.354682922,1743485248.9677734,2778977098.8876953,2032104326.480835,583626341.8339844,47.341924078046475,583626341.8339844,0.09318928700535167,0.3858572972926528,0.06724306116322509,0.7111363145386557,127.41509403918963,2.664656656748135,1.8949341143907643,1.1604605589991206,0.24870932241256452
237,1451894592.1416016,73066593.16656494,13736748.346214294,1751264052.6564941,2791588280.2026367,2040305257.474121,583626341.8340149,47.43551255572882,583626341.8340149,0.09358847768234568,0.3924693822139109,0.0672104384324399,0.7116065533934043,127.48752532393333,2.664888726954075,1.8963522821647263,1.1604605589991206,0.2497982294402617
238,1459510278.2434692,73268396.88205719,13818819.610017776,1760219585.9019775,2809421689.4814453,2049853116.8062744,583626341.8339844,47.529518588072484,583626341.8339844,0.094006032343664,0.3827444134937287,0.0679851109332219,0.7120072488498225,127.37843286020818,2.6645391089670913,1.897171160428416,1.1604605589991206,0.24842727702278486
239,1461505491.0811768,73443678.58625793,13890349.01792717,1763342578.7174072,2816831473.001465,2053431216.456665,583626341.8340149,47.62367715106795,583626341.8340149,0.09415856299546732,0.36866376777681376,0.06879597839315466,0.7117382259353706,126.94731978596081,2.663152508556084,1.8954674418350392,1.1604605589991206,0.2467699362442182
240,1480709430.6449585,73723749.5124321,14008472.967811584,1784715951.0750732,2854586971.4750977,2075594316.9246826,583626341.8339844,47.718865905902724,583626341.8339844,0.09518875483477274,0.35462698509111856,0.07026934785915984,0.7133905785784097,127.40260520728856,2.664616619884012,1.900912392148702,1.1604605589991206,0.2436503364476096
241,1491622044.491333,74100214.17861557,14162034.122629166,1798342915.3325195,2881888182.447754,2090379070.4747314,583626341.8340149,47.81473617995021,583626341.8340149,0.09587027404748483,0.15995624041220188,0.08264990583904819,0.7135653363351849,126.9833768059485,2.6632687850400796,1.9004162863481238,1.1604605589991206,0.20942350092475023
